全国图鉴, 中文, 日文, 英文, 属性1, 属性2
#143, 卡比兽, カビゴン, Snorlax, 一般
#144, 急冻鸟, フリーザー, Articuno, 冰, 飞行
#145, 闪电鸟, サンダー, Zapdos, 电, 飞行
#146, 火焰鸟, ファイヤー, Moltres, 火, 飞行
#147, 迷你龙, ミニリュウ, Dratini, 龙
#148, 哈克龙, ハクリュー, Dragonair, 龙
#149, 快龙, カイリュー, Dragonite, 龙, 飞行
#150, 超梦, ミュウツー, Mewtwo, 超能力
#151, 梦幻, ミュウ, Mew, 超能力
#152, 菊草叶, チコリータ, Chikorita, 草
#153, 月桂叶, ベイリーフ, Bayleef, 草
#154, 大竺葵, メガニウム, Meganium, 草
#155, 火球鼠, ヒノアラシ, Cyndaquil, 火
#156, 火岩鼠, マグマラシ, Quilava, 火
#157, 火暴兽, バクフーン, Typhlosion, 火
#158, 小锯鳄, ワニノコ, Totodile, 水
#159, 蓝鳄, アリゲイツ, Croconaw, 水
#160, 大力鳄, オーダイル, Feraligatr, 水
#161, 尾立, オタチ, Sentret, 一般
#162, 大尾立, オオタチ, Furret, 一般
#163, 咕咕, ホーホー, Hoothoot, 一般, 飞行
#164, 猫头夜鹰, ヨルノズク, Noctowl, 一般, 飞行
#165, 芭瓢虫, レディバ, Ledyba, 虫, 飞行
#166, 安瓢虫, レディアン, Ledian, 虫, 飞行
#167, 圆丝蛛, イトマル, Spinarak, 虫, 毒
#168, 阿利多斯, アリアドス, Ariados, 虫, 毒
#169, 叉字蝠, クロバット, Crobat, 毒, 飞行
#170, 灯笼鱼, チョンチー, Chinchou, 水, 电
#171, 电灯怪, ランターン, Lanturn, 水, 电
#172, 皮丘, ピチュー, Pichu, 电
#173, 皮宝宝, ピィ, Cleffa, 一般
#174, 宝宝丁, ププリン, Igglybuff, 一般
#175, 波克比, トゲピー, Togepi, 一般
#176, 波克基古, トゲチック, Togetic, 一般, 飞行
#177, 天然雀, ネイティ, Natu, 超能力, 飞行
#178, 天然鸟, ネイティオ, Xatu, 超能力, 飞行
#179, 咩利羊, メリープ, Mareep, 电
#180, 茸茸羊, モココ, Flaaffy, 电
#181, 电龙, デンリュウ, Ampharos, 电
#182, 美丽花, キレイハナ, Bellossom, 草
#183, 玛力露, マリル, Marill, 水
#184, 玛力露丽, マリルリ, Azumarill, 水
#185, 树才怪, ウソッキー, Sudowoodo, 岩石
#186, 蚊香蛙皇, ニョロトノ, Politoed, 水
#187, 毽子草, ハネッコ, Hoppip, 草, 飞行
#188, 毽子花, ポポッコ, Skiploom, 草, 飞行
#189, 毽子棉, ワタッコ, Jumpluff, 草, 飞行
#190, 长尾怪手, エイパム, Aipom, 一般
#191, 向日种子, ヒマナッツ, Sunkern, 草
#192, 向日花怪, キマワリ, Sunflora, 草
#193, 蜻蜻蜓, ヤンヤンマ, Yanma, 虫, 飞行
#194, 乌波, ウパー, Wooper, 水, 地面
#195, 沼王, ヌオー, Quagsire, 水, 地面
#196, 太阳伊布, エーフィ, Espeon, 超能力
#197, 月亮伊布, ブラッキー, Umbreon, 惡
#198, 黑暗鸦, ヤミカラス, Murkrow, 惡, 飞行
#199, 呆呆王, ヤドキング, Slowking, 水, 超能力
#200, 梦妖, ムウマ, Misdreavus, 幽灵
#201, 未知图腾, アンノーン, Unown, 超能力
#202, 果然翁, ソーナンス, Wobbuffet, 超能力
#203, 麒麟奇, キリンリキ, Girafarig, 一般, 超能力
#204, 榛果球, クヌギダマ, Pineco, 虫
#205, 佛烈托斯, フォレトス, Forretress, 虫, 钢
#206, 土龙弟弟, ノコッチ, Dunsparce, 一般
#207, 天蝎, グライガー, Gligar, 地面, 飞行
#208, 大钢蛇, ハガネール, Steelix, 钢, 地面
#209, 布鲁, ブルー, Snubbull, 一般
#210, 布魯皇, グランブル, Granbull, 一般
#211, 千针鱼, ハリーセン, Qwilfish, 水, 毒
#212, 巨钳螳螂, ハッサム, Scizor, 虫, 钢
#213, 壶壶, ツボツボ, Shuckle, 虫, 岩石
#214, 赫拉克罗斯, ヘラクロス, Heracross, 虫, 格斗
#215, 狃拉, ニューラ, Sneasel, 惡, 冰
#216, 熊宝宝, ヒメグマ, Teddiursa, 一般
#217, 圈圈熊, リングマ, Ursaring, 一般
#218, 熔岩虫, マグマッグ, Slugma, 火
#219, 熔岩蜗牛, マグカルゴ, Magcargo, 火, 岩石
#220, 小山猪, ウリムー, Swinub, 冰, 地面
#221, 长毛猪, イノムー, Piloswine, 冰, 地面
#222, 太阳珊瑚, サニーゴ, Corsola, 水, 岩石
#223, 铁炮鱼, テッポウオ, Remoraid, 水
#224, 章鱼桶, オクタン, Octillery, 水
#225, 信使鸟, デリバード, Delibird, 冰, 飞行
#226, 巨翅飞鱼, マンタイン, Mantine, 水, 飞行
#227, 盔甲鸟, エアームド, Skarmory, 钢, 飞行
#228, 戴鲁比, デルビル, Houndour, 惡, 火
#229, 黑鲁加, ヘルガー, Houndoom, 惡, 火
#230, 刺龙王, キングドラ, Kingdra, 水, 龙
#231, 小小象, ゴマゾウ, Phanpy, 地面
#232, 顿甲, ドンファン, Donphan, 地面
#233, 多边兽Ⅱ, ポリゴン２, Porygon2, 一般
#234, 惊角鹿, オドシシ, Stantler, 一般
#235, 图图犬, ドーブル, Smeargle, 一般
#236, 无畏小子, バルキー, Tyrogue, 格斗
#237, 战舞郎, カポエラー, Hitmontop, 格斗
#238, 迷唇娃, ムチュール, Smoochum, 冰, 超能力
#239, 电击怪, エレキッド, Elekid, 电
#240, 鸭嘴宝宝, ブビィ, Magby, 火
#241, 大奶罐, ミルタンク, Miltank, 一般
#242, 幸福蛋, ハピナス, Blissey, 一般
#243, 雷公, ライコウ, Raikou, 电
#244, 炎帝, エンテイ, Entei, 火
#245, 水君, スイクン, Suicune, 水
#246, 幼基拉斯, ヨーギラス, Larvitar, 岩石, 地面
#247, 沙基拉斯, サナギラス, Pupitar, 岩石, 地面
#248, 班基拉斯, バンギラス, Tyranitar, 岩石, 惡
#249, 洛奇亚, ルギア, Lugia, 超能力, 飞行
#250, 凤王, ホウオウ, Ho-Oh, 火, 飞行
#251, 时拉比, セレビィ, Celebi, 超能力, 草
